Fy (ksi),Lb,bf,tf,tw,h0,ry,Mn(Modified),Mn(AISC code),Mn(FE model),Mp,b,Mcr
139.236,340,11.1,0.77,0.48,17.63,2.63,7292.567981,7458.54445914632,6321.39519043401,25897.896,11.1,7742.5288953556
139.236,100,10.4,1.25,0.755,10.15,2.68,19115.2485,20467.692,17917.573959256,20467.692,10.4,63325.96894356
139.236,150,10.4,1.25,0.755,10.15,2.68,17214.60461,20467.692,18482.1277679362,20467.692,10.4,35799.1524535155
139.236,190,10.4,1.25,0.755,10.15,2.68,15622.47236,20467.692,18145.2684233835,20467.692,10.4,26546.3874321868
139.236,240,10.4,1.25,0.755,10.15,2.68,13810.30761,20467.692,15226.6363153233,20467.692,10.4,20131.1836277563
139.236,280,10.4,1.25,0.755,10.15,2.68,12553.65543,19989.5028286365,15221.5855624446,20467.692,10.4,16906.5462239789
139.236,320,10.4,1.25,0.755,10.15,2.68,11463.80373,18663.0406437869,13916.1043046944,20467.692,10.4,14591.7526975347
139.236,360,10.4,1.25,0.755,10.15,2.68,10521.44388,17336.5784589373,12804.7181930912,20467.692,10.4,12846.2213878956
139.236,390,10.4,1.25,0.755,10.15,2.68,9898.459085,16341.7318203001,12111.4669264836,20467.692,10.4,11793.7065910604
139.236,430,10.4,1.25,0.755,10.15,2.68,9163.313826,9853.83528941538,8171.74075730735,20467.692,10.4,10636.6571225999
139.236,460,10.4,1.25,0.755,10.15,2.68,8673.831888,9184.43399832137,8642.84832595217,20467.692,10.4,9910.01863778536
139.236,80,5.5,0.345,0.25,15.355,1.12,3547.579376,5520.49824010793,3974.81427812223,6154.2312,5.5,4589.75964391936
139.236,100,5.5,0.345,0.25,15.355,1.12,2636.938757,2975.81842128287,2995.49016829052,6154.2312,5.5,3021.87597816232
139.236,120,5.5,0.345,0.25,15.355,1.12,2003.26071,2135.9780921255,1650.5162976085,6154.2312,5.5,2168.03383575033
139.236,140,5.5,0.345,0.25,15.355,1.12,1571.049303,1627.52052059939,1605.63321523472,6154.2312,5.5,1651.15890029733
139.236,160,5.5,0.345,0.25,15.355,1.12,1270.580043,1295.60709580436,1191.7437023915,6154.2312,5.5,1313.80299935702
139.236,180,5.5,0.345,0.25,15.355,1.12,1055.429122,1066.3129730463,916.597921169176,6154.2312,5.5,1080.79398745003
139.236,190,16.5,1.26,0.76,35.24,3.71,104722.3788,134084.268,124178.665190434,134084.268,16.5,184987.671283814
139.236,230,16.5,1.26,0.76,35.24,3.71,89724.84278,133499.291161142,110100.743312666,134084.268,16.5,129758.407869705
139.236,260,16.5,1.26,0.76,35.24,3.71,79147.12793,123888.911346144,101779.543578388,134084.268,16.5,103891.525316889
139.236,300,16.5,1.26,0.76,35.24,3.71,66885.5835,111075.071592813,84038.3410097431,134084.268,16.5,80649.3187991584
139.236,350,16.5,1.26,0.76,35.24,3.71,54737.68653,60005.5408155392,61489.8228520815,134084.268,16.5,61934.4154243699
139.236,390,16.5,1.26,0.76,35.24,3.71,47214.88304,50205.9743427964,48006.5905668733,134084.268,16.5,51770.2872716638
139.236,430,16.5,1.26,0.76,35.24,3.71,41220.48367,42946.8199248051,39669.6423826395,134084.268,16.5,44244.6652255834
139.236,460,16.5,1.26,0.76,35.24,3.71,37516.25001,38659.7458927994,32147.5583702392,134084.268,16.5,39802.2914685109
139.236,80,7.07,0.63,0.38,15.67,1.59,10171.8605,12809.712,11399.4930026572,12809.712,7.07,18531.5655231412
139.236,100,7.07,0.63,0.38,15.67,1.59,8547.503667,12731.3629977456,9749.92161204606,12809.712,7.07,12328.314238928
139.236,120,7.07,0.63,0.38,15.67,1.59,7077.126582,11329.856286344,8695.97909654562,12809.712,7.07,8942.61334332007
139.236,130,7.07,0.63,0.38,15.67,1.59,6444.993967,10629.1029306431,8409.49791851196,12809.712,7.07,7798.30559129646
139.236,160,7.07,0.63,0.38,15.67,1.59,4957.032453,5312.41201538482,4933.29643932684,12809.712,7.07,5538.80098642109
139.236,190,7.07,0.63,0.38,15.67,1.59,3947.188256,4073.45723723648,3861.29157661647,12809.712,7.07,4238.12450546957
139.236,230,7.07,0.63,0.38,15.67,1.59,3064.139149,3084.84306000978,2722.04083259522,12809.712,7.07,3202.01989571337
139.236,260,7.07,0.63,0.38,15.67,1.59,2613.165836,2605.01122483507,2058.09068201949,12809.712,7.07,2700.07659180933
139.236,290,7.07,0.63,0.38,15.67,1.59,2274.912155,2253.81203307758,1546.45385872453,12809.712,7.07,2333.26065297847
139.236,100,8.27,0.685,0.43,20.415,1.8,16470.61061,22277.76,19406.5899025686,22277.76,8.27,26692.2355726477
139.236,120,8.27,0.685,0.43,20.415,1.8,13933.28987,21184.9298835079,17068.1925597874,22277.76,8.27,19034.2649982646
139.236,140,8.27,0.685,0.43,20.415,1.8,11690.42417,18971.2145549359,14932.6802480071,22277.76,8.27,14404.7744089955
139.236,160,8.27,0.685,0.43,20.415,1.8,9848.804211,10985.6010302991,10970.1002657219,22277.76,8.27,11388.7581557103
139.236,180,8.27,0.685,0.43,20.415,1.8,8382.764818,8990.58556127946,8363.13560673162,22277.76,8.27,9310.48195463137
139.236,200,8.27,0.685,0.43,20.415,1.8,7224.474245,7553.65276987726,6197.57750221435,22277.76,8.27,7814.23975509954
139.236,230,8.27,0.685,0.43,20.415,1.8,5917.345275,6043.9041427663,4767.25828166519,22277.76,8.27,6243.17257117581
139.236,260,8.27,0.685,0.43,20.415,1.8,4971.710572,5009.48529746617,4519.42604960142,22277.76,8.27,5167.69519099969
139.236,290,8.27,0.685,0.43,20.415,1.8,4268.284739,4265.03943999276,3401.96328609389,22277.76,8.27,4394.4517093822
100.076,190,15.9,1.77,1.03,42.23,3.49,137171.7289,162123.12,133457.708148804,162123.12,15.9,290051.468296546
100.076,230,15.9,1.77,1.03,42.23,3.49,122608.4344,157180.339617072,138308.961913198,162123.12,15.9,205359.253149666
100.076,260,15.9,1.77,1.03,42.23,3.49,111478.9753,143590.680865049,109853.357661647,162123.12,15.9,165618.043829533
100.076,300,15.9,1.77,1.03,42.23,3.49,97625.81254,122477.537470133,115668.427812223,162123.12,15.9,129821.641396282
100.076,350,15.9,1.77,1.03,42.23,3.49,82838.9232,95417.5994343812,84404.4081045173,162123.12,15.9,100881.536986459
100.076,390,15.9,1.77,1.03,42.23,3.49,73128.49605,80628.0972550223,68329.6840124004,162123.12,15.9,85084.6282745352
100.076,430,15.9,1.77,1.03,42.23,3.49,65076.14249,69608.4566639867,52962.0259521701,162123.12,15.9,73329.0283684475
100.076,460,15.9,1.77,1.03,42.23,3.49,59955.8318,63064.2649109755,54304.9862710363,162123.12,15.9,66355.9089151725
100.076,230,15.8,1.07,0.65,37.63,3.45,63253.49956,82706.0835228289,60037.5457927369,86966.044,15.8,100289.969894217
100.076,260,15.8,1.07,0.65,37.63,3.45,56631.90959,75104.2445705383,53793.2066430469,86966.044,15.8,79918.0864627137
100.076,300,15.8,1.07,0.65,37.63,3.45,48523.23933,60925.1380535245,38169.686891054,86966.044,15.8,61635.4561405124
100.076,350,15.8,1.07,0.65,37.63,3.45,40072.46414,46421.1429637787,42794.6410540301,86966.044,15.8,46944.5221887934
100.076,390,15.8,1.07,0.65,37.63,3.45,34658.60835,38564.3975107477,42976.378166519,86966.044,15.8,38987.3963890956
100.076,430,15.8,1.07,0.65,37.63,3.45,30262.67132,32762.9994708879,35655.154384411,86966.044,15.8,33112.5743240657
100.076,460,15.8,1.07,0.65,37.63,3.45,27516.36369,29347.6819991445,27258.9582816652,86966.044,15.8,29654.4451866421
100.076,130,16.2,2.28,1.26,33.72,3.77,150170.6155,156118.56,166231.132418069,156118.56,16.2,671218.220391725
100.076,170,16.2,2.28,1.26,33.72,3.77,142997.8135,156118.56,165378.635075288,156118.56,16.2,416205.554144748
100.076,200,16.2,2.28,1.26,33.72,3.77,136022.5077,156118.56,151687.945084145,156118.56,16.2,315718.095117467
100.076,230,16.2,2.28,1.26,33.72,3.77,128255.0721,156118.56,142669.763950399,156118.56,16.2,251274.852149105
100.076,270,16.2,2.28,1.26,33.72,3.77,117558.783,156118.56,126485.756864482,156118.56,16.2,195617.479502621
100.076,320,16.2,2.28,1.26,33.72,3.77,104843.8866,140258.578270872,125085.888396811,156118.56,16.2,152138.723377394
100.076,360,16.2,2.28,1.26,33.72,3.77,95720.45729,127543.181839815,113443.509300266,156118.56,16.2,128879.071770898
100.076,390,16.2,2.28,1.26,33.72,3.77,89572.96721,108382.258596733,89946.3045172719,156118.56,16.2,115569.17367247
100.076,430,16.2,2.28,1.26,33.72,3.77,82273.85135,95447.8776576144,76439.0052258636,156118.56,16.2,101574.812207221
100.076,460,16.2,2.28,1.26,33.72,3.77,77418.23027,87625.2783190993,69160.4316209035,156118.56,16.2,93130.3748335367
100.076,200,16.6,1.57,0.885,35.53,3.8,101808.093,119090.44,105428.560673162,119090.44,16.6,221947.941720764
100.076,240,16.6,1.57,0.885,35.53,3.8,92131.35016,119074.832316429,95981.2230292294,119090.44,16.6,160069.652925184
100.076,270,16.6,1.57,0.885,35.53,3.8,84637.1607,110008.40393494,87174.8079273694,119090.44,16.6,130417.073661264
100.076,300,16.6,1.57,0.885,35.53,3.8,77420.2208,100941.97555345,78491.3994685563,119090.44,16.6,109096.206560499
100.076,350,16.6,1.57,0.885,35.53,3.8,66635.59159,80867.4464563922,53087.0405225864,119090.44,16.6,84771.7542577272
100.076,390,16.6,1.57,0.885,35.53,3.8,59325.48334,68308.6738163577,39852.5662533215,119090.44,16.6,71494.635251648
