Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr,Mn/Mp (Formula),Mn/Mp (FEM)
37.73584906,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,0.338079867,0.928895753,0.981578783
70.75471698,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,0.806159647,0.749966543,0.790746242
89.62264151,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,1.071885102,0.656472306,0.802191701
99.05660377,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,1.203251212,0.615535328,0.768831491
108.490566,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,1.333728143,0.578379436,0.747747114
122.6415094,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,1.528015785,0.529106402,0.707855121
141.509434,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,1.78492352,0.4737368,0.507021952
150.9433962,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,1.91264558,0.449771001,0.39062771
165.0943396,14.14912281,14.14912281,14.14912281,1.640350877,208.279468,2.103496862,0.417702916,0.312963167
37.31343284,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,0.323211667,0.933923009,0.87540764
55.97014925,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,0.571736776,0.841062324,0.902990321
70.89552239,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,0.771016096,0.763274743,0.88653222
89.55223881,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,1.016715777,0.674736927,0.743935189
104.4776119,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,1.210637095,0.61334006,0.743688422
119.4029851,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,1.402689069,0.560092644,0.679905888
134.3283582,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,1.593285012,0.51405131,0.625606355
145.5223881,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,1.735475768,0.483613838,0.59173584
160.4477612,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,1.924259828,0.447696488,0.399250719
171.641791,13.44370861,13.44370861,13.44370861,1.655629139,208.279468,2.065353532,0.42378163,0.422267851
71.42857143,61.42,61.42,61.42,1.38,208.279468,1.340861326,0.57644558,0.645866908
89.28571429,61.42,61.42,61.42,1.38,208.279468,2.036559821,0.428475738,0.486736697
107.1428571,61.42,61.42,61.42,1.38,208.279468,2.838623226,0.325509498,0.268192118
125,61.42,61.42,61.42,1.38,208.279468,3.727219227,0.255279539,0.260899073
142.8571429,61.42,61.42,61.42,1.38,208.279468,4.684287677,0.206456339,0.193646235
160.7142857,61.42,61.42,61.42,1.38,208.279468,5.694176015,0.171496502,0.148937843
51.21293801,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,0.724828131,0.781019133,0.926124049
61.99460916,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,1.033337802,0.669167562,0.821130957
70.08086253,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,1.290617956,0.590279002,0.759071479
80.86253369,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,1.662559213,0.498832447,0.626757652
94.33962264,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,2.164939591,0.408233474,0.458590883
105.1212938,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,2.58998501,0.352128432,0.358032984
115.902965,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,3.030518308,0.307422222,0.295856054
123.9892183,46.36842105,46.36842105,46.36842105,1.657894737,208.279468,3.368757502,0.279796061,0.239756377
50.31446541,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,0.691237445,0.794074098,0.889910171
62.89308176,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,1.039048142,0.667267435,0.761135115
75.47169811,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,1.432434961,0.552481319,0.678858283
81.76100629,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,1.6426276,0.503133401,0.65649391
100.6289308,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,2.312722922,0.386974543,0.385121573
119.4968553,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,3.022495442,0.308140281,0.301434691
144.6540881,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,4.000509809,0.239204375,0.212498207
163.5220126,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,4.744203197,0.203998797,0.160666429
182.3899371,41.23684211,41.23684211,41.23684211,1.657894737,208.279468,5.490047579,0.177592764,0.120725108
55.55555556,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,0.834615742,0.739329744,0.871119444
66.66666667,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,1.170402955,0.625434957,0.766153893
77.77777778,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,1.546553897,0.524757613,0.670295409
88.88888889,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,1.956118454,0.442091315,0.492423846
100,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,2.392761203,0.376284008,0.375402895
111.1111111,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,2.850918413,0.324290873,0.278195721
127.7777778,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,3.568339614,0.265616708,0.213991814
144.4444444,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,4.310966335,0.223169231,0.202867167
161.1111111,47.47674419,47.47674419,47.47674419,1.593023256,208.279468,5.069519811,0.191593982,0.152706703
54.44126074,41,4.491525424,2.655974843,1.718446602,289.7797674,0.777663086,0.903654663,0.823187391
65.9025788,41,4.491525424,2.655974843,1.718446602,289.7797674,1.098379141,0.819517615,0.85311066
74.49856734,41,4.491525424,2.655974843,1.718446602,289.7797674,1.361942907,0.747639004,0.677592176
85.95988539,41,4.491525424,2.655974843,1.718446602,289.7797674,1.737478571,0.652784792,0.713460411
100.286533,41,4.491525424,2.655974843,1.718446602,289.7797674,2.235912802,0.548645559,0.520619194
111.747851,41,4.491525424,2.655974843,1.718446602,289.7797674,2.651034912,0.480152311,0.421467857
123.2091691,41,4.491525424,2.655974843,1.718446602,289.7797674,3.076030394,0.423840948,0.326677811
131.8051576,41,4.491525424,2.655974843,1.718446602,289.7797674,3.39928009,0.388390302,0.334961394
66.66666667,57.89230769,7.38317757,2.38164557,1.646153846,289.7797674,1.206462462,0.78985147,0.690356178
75.36231884,57.89230769,7.38317757,2.38164557,1.646153846,289.7797674,1.514001265,0.707741427,0.618554141
86.95652174,57.89230769,7.38317757,2.38164557,1.646153846,289.7797674,1.963092213,0.602461871,0.438903337
101.4492754,57.89230769,7.38317757,2.38164557,1.646153846,289.7797674,2.577427107,0.49123034,0.492084486
113.0434783,57.89230769,7.38317757,2.38164557,1.646153846,289.7797674,3.103466638,0.420607742,0.494174234
124.6376812,57.89230769,7.38317757,2.38164557,1.646153846,289.7797674,3.65408267,0.364074962,0.409989379
133.3333333,57.89230769,7.38317757,2.38164557,1.646153846,289.7797674,4.080200565,0.329211854,0.313443696
34.48275862,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,0.27937587,0.985184454,1.064774953
45.0928382,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,0.469481422,0.957577103,1.059314377
53.05039788,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,0.631282546,0.92447706,0.971620191
61.00795756,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,0.864424586,0.882045823,0.913855239
71.61803714,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,1.048019826,0.816229375,0.810190389
84.8806366,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,1.29987956,0.730174667,0.801223688
95.49071618,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,1.620776393,0.665162294,0.726649729
103.4482759,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,1.879464507,0.620491713,0.576141008
114.0583554,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,2.138405726,0.5670198,0.489621511
122.0159151,26.76190476,3.552631579,2.081481481,1.80952381,289.7797674,2.332302006,0.531380267,0.442999421
52.63157895,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,0.67968484,0.911078711,0.885281477
63.15789474,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,0.960036155,0.83679333,0.805952376
71.05263158,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,1.190443863,0.772355747,0.732005087
78.94736842,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,1.518758949,0.706522641,0.659090683
92.10526316,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,1.95455245,0.604269392,0.445770798
102.6315789,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,2.317528293,0.533970086,0.334641187
113.1578947,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,2.689155968,0.474580988,0.287919038
121.0526316,40.14689266,5.286624204,2.140361446,1.774011299,289.7797674,2.971824965,0.436535622,0.180367854
55.3633218,41.2,7.6875,1.674796748,1.6,289.7797674,0.352384372,0.884350613,0.863685404
65.74394464,41.2,7.6875,1.674796748,1.6,289.7797674,0.581281261,0.80060932,0.802846009
79.58477509,41.2,7.6875,1.674796748,1.6,289.7797674,0.855393882,0.678711086,0.772160963
89.96539792,41.2,7.6875,1.674796748,1.6,289.7797674,1.167262365,0.594098654,0.574922141
103.8062284,41.2,7.6875,1.674796748,1.6,289.7797674,1.278358847,0.499103964,0.423998892
121.1072664,41.2,7.6875,1.674796748,1.6,289.7797674,1.629594094,0.40853203,0.382942514
134.9480969,41.2,7.6875,1.674796748,1.6,289.7797674,2.003083044,0.353988911,0.318194298
148.7889273,41.2,7.6875,1.674796748,1.6,289.7797674,2.393602442,0.311156066,0.300050774
159.1695502,41.2,7.6875,1.674796748,1.6,289.7797674,2.661250521,0.284869815,0.222305514
48.63221884,35.68,5.223880597,1.911428571,1.786666667,289.7797674,3.071023105,0.933992097,0.96864528
57.75075988,35.68,5.223880597,1.911428571,1.786666667,289.7797674,0.644033259,0.879648932,0.904011396
